Date,Adj Close
09-08-2023,439.601105
10-08-2023,439.758942
11-08-2023,439.502502
14-08-2023,441.928589
15-08-2023,436.780579
16-08-2023,433.575378
17-08-2023,430.271606
18-08-2023,430.478729
21-08-2023,433.279572
22-08-2023,432.105957
23-08-2023,436.91861
24-08-2023,430.863342
25-08-2023,433.900879
28-08-2023,436.652405
29-08-2023,442.964081
30-08-2023,444.788574
31-08-2023,444.137665
01-09-2023,444.966095
05-09-2023,443.042999
06-09-2023,440.064606
07-09-2023,438.713531
08-09-2023,439.374268
11-09-2023,442.263885
12-09-2023,439.837799
13-09-2023,440.350647
14-09-2023,444.147522
15-09-2023,438.796295
18-09-2023,439.053619
19-09-2023,438.143127
20-09-2023,434.115112
21-09-2023,426.939911
22-09-2023,425.979919
25-09-2023,427.77124
26-09-2023,421.486725
27-09-2023,421.654968
28-09-2023,424.099457
29-09-2023,423.070221
02-10-2023,422.901978
03-10-2023,417.240967
04-10-2023,420.279327
05-10-2023,420.120972
06-10-2023,425.108948
09-10-2023,427.830597
10-10-2023,430.057404
11-10-2023,431.819031
12-10-2023,429.186462
13-10-2023,427.048737
16-10-2023,431.541931
17-10-2023,431.522125
18-10-2023,425.772034
19-10-2023,422.031036
20-10-2023,416.845093
23-10-2023,416.12262
24-10-2023,419.259918
25-10-2023,413.242645
26-10-2023,408.29422
27-10-2023,406.443512
30-10-2023,411.302856
31-10-2023,413.885925
01-11-2023,418.299957
02-11-2023,426.316406
03-11-2023,430.205841
06-11-2023,431.195526
07-11-2023,432.422729
08-11-2023,432.73941
09-11-2023,429.364624
10-11-2023,436.064758
13-11-2023,435.649109
14-11-2023,444.101013
15-11-2023,445.041199
16-11-2023,445.585541
17-11-2023,446.139771
20-11-2023,449.573975
21-11-2023,448.594147
22-11-2023,450.326111
24-11-2023,450.60321
27-11-2023,449.791687
28-11-2023,450.23703
29-11-2023,449.920349
30-11-2023,451.691895
01-12-2023,454.364044
04-12-2023,451.978882
05-12-2023,451.889832
06-12-2023,450.068817
07-12-2023,453.502991
08-12-2023,455.452698
11-12-2023,457.224213
12-12-2023,459.312469
13-12-2023,465.646454
14-12-2023,467.140869
15-12-2023,466.371704
18-12-2023,468.995087
19-12-2023,471.847015
20-12-2023,465.308472
21-12-2023,469.72049
22-12-2023,470.66449
26-12-2023,472.651886
27-12-2023,473.50647
28-12-2023,473.685333
29-12-2023,472.314026
02-01-2024,469.670807
03-01-2024,465.835144
04-01-2024,464.334656
05-01-2024,464.970642
08-01-2024,471.608521
09-01-2024,470.893036
10-01-2024,473.556152
11-01-2024,473.347473
12-01-2024,473.675385
16-01-2024,471.936401
17-01-2024,469.31308
18-01-2024,473.486572
19-01-2024,479.38913
22-01-2024,480.40274
23-01-2024,481.803833
24-01-2024,482.330505
25-01-2024,484.953857
26-01-2024,484.337769
29-01-2024,488.173431
30-01-2024,487.795868
31-01-2024,479.836334
01-02-2024,486.116486
02-02-2024,491.234009
05-02-2024,489.445343
06-02-2024,490.866364
07-02-2024,494.960388
08-02-2024,495.178986
09-02-2024,498.040863
12-02-2024,497.822235
13-02-2024,490.965729
14-02-2024,495.427429
15-02-2024,498.845764
16-02-2024,496.361511
20-02-2024,493.628845
21-02-2024,494.075989
22-02-2024,504.301147
23-02-2024,504.648926
26-02-2024,502.800629
27-02-2024,503.734741
28-02-2024,503.06897
29-02-2024,504.877472
01-03-2024,509.617401
04-03-2024,509.070892
05-03-2024,503.983124
06-03-2024,506.536926
07-03-2024,511.565033
08-03-2024,508.494537
11-03-2024,508.057312
12-03-2024,513.522644
13-03-2024,512.717773
14-03-2024,511.704163
15-03-2024,508.190521
18-03-2024,511.210754
19-03-2024,514.051636
20-03-2024,518.806274
21-03-2024,520.520752
22-03-2024,519.533936
25-03-2024,518.098572
26-03-2024,517.141663
27-03-2024,521.48761
28-03-2024,521.387939
01-04-2024,520.480835
02-04-2024,517.17157
03-04-2024,517.739685
04-04-2024,511.420105
05-04-2024,516.762878
08-04-2024,517.05188
09-04-2024,517.650024
10-04-2024,512.466736
11-04-2024,516.334229
12-04-2024,509.207245
15-04-2024,502.82785
16-04-2024,501.910797
17-04-2024,498.940369
18-04-2024,497.913666
19-04-2024,493.567688
22-04-2024,498.113037
23-04-2024,504.023956
24-04-2024,503.784729
25-04-2024,501.870911
26-04-2024,506.62558
29-04-2024,508.419769
30-04-2024,500.365784
01-05-2024,498.741028
02-05-2024,503.405945
03-05-2024,509.645844
06-05-2024,514.908875
07-05-2024,515.477051
08-05-2024,515.526855
09-05-2024,518.497253
10-05-2024,519.165161
13-05-2024,519.234863
14-05-2024,521.617188
15-05-2024,528.076416
16-05-2024,526.989868
17-05-2024,527.747437
20-05-2024,528.355469
21-05-2024,529.651245
22-05-2024,528.126221
23-05-2024,524.268677
24-05-2024,527.737488
28-05-2024,528.106262
29-05-2024,524.408203
30-05-2024,520.929382
31-05-2024,525.674133
03-06-2024,526.102722
04-06-2024,526.690857
05-06-2024,532.950623
06-06-2024,532.940674
07-06-2024,532.292786
10-06-2024,533.937439
11-06-2024,535.223328
12-06-2024,539.619141
13-06-2024,540.705627
14-06-2024,541.034607
17-06-2024,545.340637
18-06-2024,546.726196
20-06-2024,545.240967
21-06-2024,544.51001
24-06-2024,542.73999
25-06-2024,544.830017
26-06-2024,545.51001
27-06-2024,546.369995
28-06-2024,544.219971
01-07-2024,545.340027
02-07-2024,549.01001
03-07-2024,551.460022
05-07-2024,554.640015
08-07-2024,555.280029
09-07-2024,555.820007
10-07-2024,561.320007
11-07-2024,556.47998
12-07-2024,559.98999
15-07-2024,561.530029
16-07-2024,564.859985
17-07-2024,556.940002
18-07-2024,552.659973
19-07-2024,548.98999
22-07-2024,554.650024
23-07-2024,553.780029
24-07-2024,541.22998
25-07-2024,538.409973
26-07-2024,544.440002
29-07-2024,544.76001
30-07-2024,542
31-07-2024,550.809998
01-08-2024,543.01001
02-08-2024,532.900024
05-08-2024,517.380005
06-08-2024,522.150024
07-08-2024,518.659973
08-08-2024,530.650024
09-08-2024,530.169983
